row,product_id,product_name,variation_name,master_color,master_size,sku
372,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Merah Cabe,XXXL",Merah Cabe,XXXL,3IN1-P-MCB-XXXL
373,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Sky Blue,XXXL",Biru Langit,XXXL,3IN1-P-BLG-XXXL
374,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Hitam,M",Hitam,M,3IN1-P-HTM-M
375,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Sky Blue,XS",Biru Langit,XS,3IN1-P-BLG-XS
376,22656255576,Tuksedo 3 In 1 Set Jas Pria Tuxedo Pria Setelan Jas Pria Formal,"Hitam,XXXL",Hitam,XXXL,3IN1-P-HTM-XXXL
377,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Baby Pink,XXXL",Baby Pink,XXXL,JC-W-BPK-XXXL
378,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Abu,S",Abu,S,JC-W-ABU-S
379,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Abu,XL",Abu,XL,JC-W-ABU-XL
380,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Baby Pink,XS",Baby Pink,XS,JC-W-BPK-XS
381,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Hitam,M",Hitam,M,JC-W-HTM-M
382,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Abu,XXXL",Abu,XXXL,JC-W-ABU-XXXL
383,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Baby Pink,S",Baby Pink,S,JC-W-BPK-S
384,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Hitam,S",Hitam,S,JC-W-HTM-S
385,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Burgundy,L",Marun Tua,L,JC-W-MTA-L
386,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Cream,XXL",Krem,XXL,JC-W-KRM-XXL
387,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Marun,S",Marun Muda,S,JC-W-MMD-S
388,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Putih,XXXL",Putih,XXXL,JC-W-PTH-XXXL
389,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Burgundy,S",Marun Tua,S,JC-W-MTA-S
390,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Cream,M",Krem,M,JC-W-KRM-M
391,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Marun,XS",Marun Muda,XS,JC-W-MMD-XS
392,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Cream,XS",Krem,XS,JC-W-KRM-XS
393,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Abu,M",Abu,M,JC-W-ABU-M
394,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Hitam,XXXL",Hitam,XXXL,JC-W-HTM-XXXL
395,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Putih,M",Putih,M,JC-W-PTH-M
396,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Putih,S",Putih,S,JC-W-PTH-S
397,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Biru langit,L",Biru Langit,L,JC-W-BLG-L
398,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Navy,L",Navy,L,JC-W-NVY-L
